X,CH1,
Second,Volt,
2.1200001e-02,-1.00000e+00,
2.1400001e-02,-1.36000e+00,
2.1600001e-02,-1.24000e+00,
2.1800000e-02,-4.00000e-01,
2.2000002e-02,-2.80000e-01,
2.2200001e-02,9.20000e-01,
2.2400001e-02,1.00000e+00,
2.2600001e-02,1.44000e+00,
2.2800000e-02,1.36000e+00,
2.3000000e-02,5.60000e-01,
2.3200000e-02,4.00000e-01,
2.3400001e-02,-8.40000e-01,
2.3600001e-02,-9.20000e-01,
2.3800001e-02,-1.52000e+00,
2.4000000e-02,-1.52000e+00,
2.4200000e-02,-9.20000e-01,
2.4400000e-02,-8.00000e-01,
2.4600001e-02,5.20000e-01,
2.4800001e-02,6.00000e-01,
2.5000000e-02,1.48000e+00,
2.5200000e-02,1.60000e+00,
2.5400000e-02,1.44000e+00,
2.5599999e-02,1.36000e+00,
2.5800001e-02,2.80000e-01,
2.6000001e-02,1.20000e-01,
2.6200000e-02,-1.20000e+00,
2.6400000e-02,-1.28000e+00,
2.6600000e-02,-1.68000e+00,
2.6800001e-02,-1.64000e+00,
2.7000001e-02,-9.20000e-01,
2.7200000e-02,-8.40000e-01,
2.7400000e-02,4.80000e-01,
2.7600000e-02,6.40000e-01,
2.7799999e-02,1.52000e+00,
2.8000001e-02,1.68000e+00,
2.8200001e-02,1.52000e+00,
2.8400000e-02,1.44000e+00,
2.8600000e-02,2.80000e-01,
2.8800000e-02,1.20000e-01,
2.9000001e-02,-1.08000e+00,
2.9200001e-02,-1.16000e+00,
2.9400000e-02,-1.72000e+00,
2.9600000e-02,-1.72000e+00,
2.9800000e-02,-1.20000e+00,
2.9999999e-02,-1.08000e+00,
3.0200001e-02,1.20000e-01,
3.0400001e-02,2.40000e-01,
3.0600000e-02,1.28000e+00,
3.0800000e-02,1.40000e+00,
3.0999999e-02,1.72000e+00,
3.1199999e-02,1.72000e+00,
3.1399999e-02,1.08000e+00,
3.1599998e-02,9.60000e-01,
3.1799998e-02,-4.40000e-01,
3.2000002e-02,-6.00000e-01,
3.2200001e-02,-1.52000e+00,
3.2400001e-02,-1.60000e+00,
3.2600001e-02,-1.72000e+00,
3.2800000e-02,-1.52000e+00,
3.3000000e-02,-6.00000e-01,
3.3199999e-02,-4.40000e-01,
3.3399999e-02,8.80000e-01,
3.3599999e-02,9.60000e-01,
3.3799998e-02,1.64000e+00,
3.3999998e-02,1.64000e+00,
3.4199998e-02,1.20000e+00,
3.4400001e-02,1.08000e+00,
3.4600001e-02,-8.00000e-02,
3.4800000e-02,-2.00000e-01,
3.5000000e-02,-1.28000e+00,
3.5200000e-02,-1.36000e+00,
3.5399999e-02,-1.56000e+00,
3.5599999e-02,-1.36000e+00,
3.5799999e-02,-3.60000e-01,
3.5999998e-02,-2.00000e-01,
3.6199998e-02,9.60000e-01,
3.6399998e-02,1.04000e+00,
3.6599997e-02,1.48000e+00,
3.6800001e-02,1.44000e+00,
3.7000000e-02,6.40000e-01,
3.7200000e-02,5.20000e-01,
3.7400000e-02,-9.20000e-01,
